frame_len,window,signal,method,runtime_s
256,hamming,sine,classical,5.1667040679603815e-05
256,hamming,sine,classical,4.5707973185926676e-05
256,hamming,sine,classical,5.241698818281293e-05
256,hamming,sine,classical,9.066704660654068e-05
256,hamming,sine,classical,9.49589884839952e-05
256,hamming,sine,classical,8.73749959282577e-05
256,hamming,sine,classical,8.920900290831923e-05
256,blackman,sine,classical,5.1499984692782164e-05
256,blackman,sine,classical,4.779198206961155e-05
256,blackman,sine,classical,4.8666028305888176e-05
256,blackman,sine,classical,4.800001624971628e-05
256,blackman,sine,classical,0.00010641699191182852
256,blackman,sine,classical,0.00010666699381545186
256,blackman,sine,classical,9.245797991752625e-05
256,blackman,sine,classical,9.250000584870577e-05
256,rect,sine,classical,8.50000069476664e-05
256,rect,sine,classical,7.320800796151161e-05
256,rect,sine,classical,7.90000194683671e-05
256,rect,sine,classical,8.525000885128975e-05
256,rect,sine,classical,0.0001550830202177167
256,rect,sine,classical,0.00016829196829348803
256,rect,sine,classical,0.00016300001880154014
256,rect,sine,classical,0.00017016701167449355
256,hann,sine,classical,8.404097752645612e-05
256,hann,sine,classical,7.879198528826237e-05
256,hann,sine,classical,7.641600677743554e-05
256,hann,sine,classical,7.662497228011489e-05
256,hann,sine,classical,0.0001741250162012875
256,hann,sine,classical,0.00018983299378305674
256,hann,sine,classical,0.00016449997201561928
256,hann,sine,classical,0.0001659159897826612
256,hamming,sine,classical,8.241599425673485e-05
256,hamming,sine,classical,7.83340074121952e-05
256,hamming,sine,classical,7.987499702721834e-05
256,hamming,sine,classical,7.995800115168095e-05
256,hamming,sine,classical,0.00017491704784333706
256,hamming,sine,classical,0.00016287504695355892
256,hamming,sine,classical,0.00016358395805582404
256,hamming,sine,classical,0.0002061669947579503
256,blackman,sine,classical,8.987501496449113e-05
256,blackman,sine,classical,9.537499863654375e-05
256,blackman,sine,classical,8.791702566668391e-05
256,blackman,sine,classical,8.570903446525335e-05
256,blackman,sine,classical,0.0002062079729512334
256,blackman,sine,classical,0.00016433297423645854
256,blackman,sine,classical,0.00017279095482081175
256,blackman,sine,classical,0.00015999999595806003
512,rect,sine,classical,3.066699719056487e-05
512,rect,sine,classical,2.924998989328742e-05
512,rect,sine,classical,2.9667047783732414e-05
512,rect,sine,classical,2.8875016141682863e-05
512,rect,sine,classical,5.5750017054378986e-05
512,rect,sine,classical,6.879196735098958e-05
512,rect,sine,classical,6.020901491865516e-05
512,rect,sine,classical,5.500001134350896e-05
512,hann,sine,classical,3.6416982766240835e-05
512,hann,sine,classical,3.679195651784539e-05
512,hann,sine,classical,3.266596468165517e-05
512,hann,sine,classical,3.525003558024764e-05
512,hann,sine,classical,5.9375015553086996e-05
512,hann,sine,classical,6.0416990891098976e-05
512,hann,sine,classical,6.258400389924645e-05
512,hann,sine,classical,7.049995474517345e-05
512,hamming,sine,classical,3.2791984267532825e-05
512,hamming,sine,classical,3.245798870921135e-05
512,hamming,sine,classical,3.304099664092064e-05
512,hamming,sine,classical,3.233394818380475e-05
512,hamming,sine,classical,5.741702625527978e-05
512,hamming,sine,classical,5.76250022277236e-05
512,hamming,sine,classical,5.925004370510578e-05
512,hamming,sine,classical,6.266700802370906e-05
512,blackman,sine,classical,3.591598942875862e-05
512,blackman,sine,classical,3.5582983400672674e-05
512,blackman,sine,classical,3.612501313909888e-05
512,blackman,sine,classical,3.766699228435755e-05
512,blackman,sine,classical,6.358296377584338e-05
512,blackman,sine,classical,6.554200081154704e-05
512,blackman,sine,classical,7.199996616691351e-05
512,blackman,sine,classical,6.47500273771584e-05
512,rect,sine,classical,3.770901821553707e-05
512,rect,sine,classical,7.891596760600805e-05
512,rect,sine,classical,3.7375022657215595e-05
512,rect,sine,classical,3.579194890335202e-05
512,rect,sine,classical,7.145799463614821e-05
512,rect,sine,classical,8.104200242087245e-05
512,rect,sine,classical,6.77499920129776e-05
512,rect,sine,classical,7.262500002980232e-05
512,hann,sine,classical,3.9790989831089973e-05
512,hann,sine,classical,4.4208019971847534e-05
512,hann,sine,classical,4.1207997128367424e-05
512,hann,sine,classical,3.933301195502281e-05
512,hann,sine,classical,8.274998981505632e-05
512,hann,sine,classical,7.274997187778354e-05
512,hann,sine,classical,7.050001295283437e-05
512,hann,sine,classical,7.454195292666554e-05
512,hamming,sine,classical,3.9834005292505026e-05
512,hamming,sine,classical,3.945903154090047e-05
512,hamming,sine,classical,4.541699308902025e-05
512,hamming,sine,classical,4.2166037019342184e-05
512,hamming,sine,classical,7.758301217108965e-05
512,hamming,sine,classical,7.508299313485622e-05
512,hamming,sine,classical,7.645797450095415e-05
512,hamming,sine,classical,8.174998220056295e-05
512,blackman,sine,classical,4.6041037421673536e-05
512,blackman,sine,classical,4.5208027586340904e-05
512,blackman,sine,classical,4.1832972783595324e-05
512,blackman,sine,classical,5.3750001825392246e-05
512,blackman,sine,classical,7.279199780896306e-05
512,blackman,sine,classical,7.895904127508402e-05
512,blackman,sine,classical,7.437501335516572e-05
512,blackman,sine,classical,7.30419997125864e-05
512,rect,sine,classical,4.766596248373389e-05
512,rect,sine,classical,5.262496415525675e-05
512,rect,sine,classical,4.979199729859829e-05
512,rect,sine,classical,5.8959005400538445e-05
512,rect,sine,classical,0.00010270799975842237
512,rect,sine,classical,0.00010549998842179775
512,rect,sine,classical,0.00010320800356566906
512,rect,sine,classical,9.754096390679479e-05
512,hann,sine,classical,5.295802839100361e-05
512,hann,sine,classical,5.1499984692782164e-05
512,hann,sine,classical,5.3499999921768904e-05
512,hann,sine,classical,5.0875009037554264e-05
512,hann,sine,classical,0.000108207983430475
512,hann,sine,classical,0.00010508304694667459
512,hann,sine,classical,9.862496517598629e-05
512,hann,sine,classical,9.970797691494226e-05
512,hamming,sine,classical,5.204102490097284e-05
512,hamming,sine,classical,5.108298500999808e-05
512,hamming,sine,classical,5.05829812027514e-05
512,hamming,sine,classical,5.0666043534874916e-05
512,hamming,sine,classical,0.0001016660244204104
512,hamming,sine,classical,9.766698349267244e-05
512,hamming,sine,classical,0.00011641602031886578
512,hamming,sine,classical,0.00010791694512590766
512,blackman,sine,classical,6.195902824401855e-05
512,blackman,sine,classical,5.979195702821016e-05
512,blackman,sine,classical,6.991601549088955e-05
512,blackman,sine,classical,5.8999983593821526e-05
512,blackman,sine,classical,0.00010412500705569983
512,blackman,sine,classical,0.00010845804354175925
512,blackman,sine,classical,0.0001069169957190752
512,blackman,sine,classical,0.00010400003520771861
512,rect,sine,classical,8.570897625759244e-05
512,rect,sine,classical,8.537498069927096e-05
512,rect,sine,classical,8.312496356666088e-05
512,rect,sine,classical,9.466701885685325e-05
512,rect,sine,classical,0.00019150000298395753
512,rect,sine,classical,0.000185375043656677
512,rect,sine,classical,0.00018629099940881133
512,rect,sine,classical,0.00019308400806039572
512,hann,sine,classical,8.533301297575235e-05
512,hann,sine,classical,0.00011187500786036253
512,hann,sine,classical,8.9749984908849e-05
512,hann,sine,classical,8.929200703278184e-05
512,hann,sine,classical,0.00018783297855407
512,hann,sine,classical,0.0001847500097937882
512,hann,sine,classical,0.00021550001110881567
512,hann,sine,classical,0.0001855409936979413
512,hamming,sine,classical,9.63329803198576e-05
512,hamming,sine,classical,0.00010345905320718884
512,hamming,sine,classical,0.00011079100659117103
512,hamming,sine,classical,0.00010962499072775245
512,hamming,sine,classical,0.00018741696840152144
512,hamming,sine,classical,0.00017933303024619818
512,hamming,sine,classical,0.0001830830005928874
512,hamming,sine,classical,0.00018312502652406693
512,blackman,sine,classical,9.27910441532731e-05
512,blackman,sine,classical,8.829199941828847e-05
512,blackman,sine,classical,9.279203368350863e-05
512,blackman,sine,classical,8.837500354275107e-05
512,blackman,sine,classical,0.00018649996491149068
512,blackman,sine,classical,0.00024345802376046777
512,blackman,sine,classical,0.00018462497973814607
512,blackman,sine,classical,0.0001937910565175116
1024,rect,sine,classical,3.16659570671618e-05
1024,rect,sine,classical,3.1708041206002235e-05
1024,rect,sine,classical,3.120902692899108e-05
1024,rect,sine,classical,3.462500171735883e-05
1024,rect,sine,classical,5.662499461323023e-05
1024,rect,sine,classical,5.541701102629304e-05
1024,rect,sine,classical,5.7833967730402946e-05
1024,rect,sine,classical,5.683302879333496e-05
1024,hann,sine,classical,3.6582991015166044e-05
1024,hann,sine,classical,3.63329891115427e-05
1024,hann,sine,classical,3.650004509836435e-05
1024,hann,sine,classical,3.650004509836435e-05
1024,hann,sine,classical,7.066596299409866e-05
1024,hann,sine,classical,6.279203807935119e-05
